Generation,Individual
26,"[5.222281038908092, 4.697324142385167, 4.288202730513625, 5.507172630437904, 4.613098795555027, 4.600961899349665, 5.665742986335805, 4.76809059387051, 5.970949506058214, 3.7689401050354463, 5.547191895083042, 5.725217734388114, 5.20048652269779, 6.4537531453690375, 5.390040841924737, 5.879662289174108, 5.552186622779162, 5.454711761999296, 5.519810914483936, 5.275896641729203, 4.3915749205766055, 5.864168617731258, 5.131145451216748, 5.005584537361087, 5.183570055374735, 5.402796681437067, 4.822290745463552, 5.141931935176305, 5.6139745476112966, 6.247280413604819, 4.771570067586162, 5.838041611017696, 5.306259312978148, 5.587494707559548, 4.623430140425407, 6.524229237679559, 5.379103192977688, 4.014099395496661, 5.6436581992567145, 6.6111087058032405, 5.196926152636203, 5.522951096877399, 5.747740154750641, 3.7253143123411387, 4.3878199258880635, 4.760701242453194, 5.605266299357008, 5.034246363202691, 6.461564981343563, 3.9362341189520444, 4.281284588706372, 5.288620837422644, 3.822117316449974, 4.780347432166113, 6.4491189258659745, 5.226442951800094, 5.908336636284051, 4.947993871837316, 5.1730554096051735, 5.297312173694939, 4.92184059055431, 4.725768771002922, 5.689129037904557, 3.628190017662453, 5.9146788526673175, 4.8288488820167625, 4.912675143009929, 4.997215782333901, 5.3136276772953375, 5.488837783802756, 4.535660539385155, 5.063234831982649, 6.944051334071374, 5.466524670551731, 5.047540178159746, 4.969581069251397, 3.6488285759001187, 5.744862560878567, 5.680770400104601, 4.847889441004772, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.149051176116564, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035, 5.153171941667139]"
27,"[4.674750215572493, 4.988321647381721, 5.566748679007061, 3.512804858503397, 5.798475644686727, 5.46822925511604, 5.102388435763714, 5.194472650210028, 5.347651769228871, 6.306935815960641, 5.918595826479904, 4.043162333645942, 4.545311298185628, 5.110147000926133, 5.908134639388187, 4.489378307152195, 5.17263589776014, 3.3325302241999184, 5.0075895646630295, 5.405481605905898, 4.915197515432286, 5.823352460277475, 4.672192831293756, 3.5040324981542295, 4.8418586847533325, 4.736991969299055, 5.54479485910236, 4.782852512245933, 6.255291238393622, 4.729666926248233, 5.850843857059885, 4.443146326614717, 5.3402849364079925, 4.98765434232995, 5.101589169561354, 3.5802524723371674, 4.688836225480503, 6.191554896172679, 5.080710446043943, 4.885534436566393, 4.072239318645966, 4.168740417946862, 3.877667135268685, 5.095610463386562, 5.743839861724707, 5.632840992947738, 4.873222117273, 5.685708496423024, 5.068978475583427, 3.2733980853622566, 5.235278280909395, 5.40371664663878, 4.328075717786182, 4.89329176407222, 5.328555812149817, 4.1193046590688835, 5.098816164902516, 6.5317514476414065, 4.267918910935862, 4.740235134895847, 5.498417785954287, 3.7527449753178974, 6.102966898226977, 5.26000897276578, 5.003161853944356, 3.962782414600775, 4.583906074834296, 5.136706304722351, 3.7133705586738315, 5.367733865198935, 4.618662271738106, 5.149863107435478, 7.3450532193235025, 6.221810808274013, 7.016781684549884, 5.175518111274588, 5.660546662973027, 4.5395531769417925, 5.132600594920837, 5.433961334131553, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.149051176116564, 5.141931935176305, 5.149609246344301, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189, 5.1529964429736035]"
28,"[5.856879352788782, 3.4201560852396518, 4.0624892836493345, 5.382105031042151, 4.684837760277554, 5.836673175448541, 3.5244224498161576, 5.77996033754163, 4.7561070550375675, 4.5596489635397885, 4.098665162822398, 4.687093419889966, 5.531729018683566, 5.095995550835532, 7.2844955155581985, 5.620181699117865, 5.5820300741769975, 4.633585957478365, 5.326182352666775, 5.9371416417701885, 3.0587689867849495, 4.954542392786875, 6.223963954453477, 3.9779294115674197, 5.8704676678101695, 6.12039861041816, 4.780405934069792, 5.083572839588625, 5.166143495743956, 5.702740109877482, 4.800587630126656, 5.693631685666333, 6.096924890980185, 5.808342673545478, 4.848388825853762, 4.369435837353162, 5.050384129808104, 5.039857265486553, 4.91249025008174, 5.158084394697191, 4.969219188770714, 3.0808348691316465, 5.571224547535728, 4.92194467287212, 2.872456889214723, 5.3810038331740975, 4.8697079861526875, 3.715424603466802, 5.551750465535818, 3.591381056392139, 4.766568018265017, 5.1912239600825725, 4.474641509973465, 4.7940802913068135, 3.937668264216387, 2.7174102009822994, 5.330949756490432, 5.366101169834732, 5.131701459864619, 5.008436937269952, 5.078334876771473, 5.542868285445396, 6.0213529845412115, 5.293787369201364, 7.573192609221948, 4.455621016691972, 5.648189319836286, 5.109896041802742, 5.284779072300198, 5.870051923793373, 5.355782801686211, 5.307889885172718, 5.2312931959723326, 5.619553635451392, 4.682106369524961, 4.688694654801733, 6.474526938816476, 5.804471353452158, 5.956605128330492, 5.315847399317564, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.149051176116564, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189]"
29,"[5.4719575696942995, 5.032180132784253, 4.838777787236153, 4.037774412202773, 5.348017569891511, 6.540817973497247, 6.651226165345442, 4.50702712009886, 3.549851600813583, 5.009153711560698, 5.294410709889734, 6.180301017306317, 5.093188418396796, 4.460117190703205, 5.204840942007091, 4.883883433227684, 4.822774193380509, 5.622933647955232, 5.066530617114433, 6.413162541994916, 4.777150741771802, 4.50625476136632, 5.219841438240768, 4.552908261661333, 3.312497957088879, 5.5284036074998975, 3.73827118881472, 5.036006039971229, 5.227551295392953, 5.96253837377713, 4.055040880117106, 5.567899207578748, 7.04309312530331, 5.47706930428946, 3.92500795156154, 5.067725830073575, 6.154585151683192, 5.026194622270255, 2.7938516252683003, 4.4868214752100615, 5.032041053759434, 6.171531195296231, 4.60351803755284, 4.838727918697453, 3.738033046879946, 5.549892886093013, 5.267774975820004, 4.63292850832889, 5.574177587449032, 5.238102686477784, 6.225728710002837, 5.293513041910067, 4.965625075601452, 5.301211850565808, 6.99616804843482, 4.301331091294164, 6.140875248337263, 5.752518644893449, 4.446152757672805, 5.207811690510694, 4.4484185859303285, 4.043036675926413, 3.859441685409121, 4.455285618780811, 5.1543779687047495, 5.678549248286746, 6.344281698748195, 5.427605358258674, 4.548663402241669, 4.36933231524679, 5.085154379769198, 4.753764259620798, 5.051847986368025, 4.008135674391346, 5.6805332041318515, 4.602358206281821, 5.048210373094313, 5.216625836372199, 5.63008391111032, 5.28533432409028, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.149051176116564, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189]"
30,"[6.588682735793875, 4.485296790084796, 5.131019771251285, 4.862601415261036, 4.863692141567151, 4.325101287809192, 6.213139784175032, 5.156104597927648, 4.538010570749727, 5.607065355906645, 4.9049654780191405, 5.6740365858595005, 5.377249033040286, 2.81872895350089, 5.346388054456787, 5.109863860672203, 5.256089071122074, 5.243209424543789, 5.4828571416280765, 4.292118068456332, 5.401488763775969, 5.182750457436066, 4.979824946736806, 4.661842151227073, 4.838268864624688, 5.419516864873799, 5.529643448612745, 4.1124109778965465, 4.95460947377433, 3.9206950887234004, 5.29615688826506, 4.094921440341999, 5.00161142822055, 3.944649765022895, 5.541854045845505, 4.296302510551963, 4.823796213056047, 5.0175906869944065, 4.1410667448044345, 5.222000357309134, 5.344970169794655, 6.277742707476049, 3.8153571017828622, 5.256461766796216, 4.3632742281093915, 5.429811248964912, 6.528879727599152, 3.3276116051331384, 5.4688089482572, 5.031272644798804, 6.237298969606435, 5.4548355752826785, 4.605343664585415, 5.757068736283577, 5.470630363944076, 5.0147491918928555, 5.159973173582175, 2.597992527930878, 3.983437426342544, 5.332048880134048, 2.7285163199567286, 6.274881928937379, 6.6940677106925985, 6.265804258845746, 5.000356676336655, 4.934281233141556, 4.2117606687745885, 5.2256379494035965, 5.890931275482792, 5.075241374863053, 5.6485125513154175, 4.3171532548767, 4.721337218597677, 6.146909672786416, 4.477934041283345, 5.21776731193899, 5.165991447908226, 4.727245017886, 6.698431619392572, 4.750528171205234, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.149051176116564, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189]"
31,"[5.697489592293055, 5.298785199625378, 4.2093538556476595, 5.669792150985567, 4.1218094406078025, 5.392953315266817, 4.477714585266839, 3.833853340799309, 5.028976628331897, 5.017884073410629, 5.335886159478894, 5.016163951844411, 4.779703363539197, 4.596711100090884, 6.300927203200214, 5.052469855547619, 5.789703424798102, 6.9651214068789224, 4.126450307951514, 4.779530126612514, 4.6115772773972665, 5.696717036050977, 5.362464729727477, 4.010725666561394, 4.7680732716817795, 5.115388032326383, 5.8442904167431555, 5.046834136124744, 5.515221894397463, 5.264049991558343, 5.012448564274407, 4.903954777306484, 3.8219216988695512, 5.450530461796587, 2.590620645373837, 4.599798796482479, 5.128612750699451, 4.8135652979035815, 5.381897073699827, 4.846977249077122, 3.6242269956579616, 3.9949142048870008, 6.146388984855719, 6.506023110535292, 4.9382384376242054, 5.061756227270411, 5.681935726738622, 4.713992538972144, 4.464693402578201, 5.413159916097892, 5.166240572783332, 4.8797872865550085, 5.341157713565204, 5.0779324165197135, 4.172639532542332, 3.3643816456521423, 5.379390063359126, 3.2150798884285945, 3.8469167603343335, 6.368469317892407, 5.418816612526084, 5.274243406663391, 2.3503032135010136, 4.5188905211777115, 4.994142703581453, 5.757148607632766, 5.279771023175265, 4.892359174610778, 5.186146066902896, 4.631004114481557, 4.243249253836209, 5.161955048346854, 5.161738648669104, 5.410773749335813, 3.893554127273763, 4.6059444728630465, 5.904196187153408, 4.70070787573971, 5.0284935867684215, 6.204581856673567, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.149051176116564, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189]"
32,"[5.211257366832026, 5.996507526005336, 2.2179715947770196, 6.193175626555192, 5.329768818394674, 6.537759341592279, 5.282403563738766, 4.864605178007054, 5.5046278115181835, 5.522477483494396, 4.989577181681789, 6.7696190746015175, 5.631329769729888, 4.643226063002423, 5.196371621037327, 6.104918617840887, 5.722557267533037, 5.398543535197794, 5.066030982858855, 5.843056272621651, 5.024243350422422, 5.290718491649148, 3.9365379564876464, 6.949678978616693, 4.849853771111992, 4.645982095640103, 4.956474057310135, 5.701370333414603, 5.079663755054554, 5.1028220042451675, 5.226480674860733, 6.459682750776971, 4.239993996462712, 6.015493258580848, 4.154661633124204, 5.065210950328925, 4.004718016738057, 3.7875365520899362, 6.1959657650924465, 5.142012607467212, 4.474220482298416, 5.1645842791324705, 5.030708097260726, 3.8674994005567918, 5.112681387969648, 6.674940004949534, 5.1649710140354825, 5.0603732742948555, 5.929490328783255, 6.143011277305416, 5.4231713733498506, 5.5312248977699054, 5.097696279643302, 4.7559594242124, 4.240296314113069, 4.306864316310019, 5.836909738494956, 5.743296508479048, 5.662582155819967, 5.190247287783527, 5.197128637870991, 5.204241682633176, 5.261242982106607, 5.434163419741438, 4.302877029545377, 5.040447372631004, 4.547881667227464, 5.307525519293259, 5.53378235891468, 5.26922838824664, 4.619340360714743, 5.768460272531672, 5.440312591497781, 5.1029931450984, 4.352875899190629, 5.5272258242789585, 5.1797959520335075, 4.230301764234481, 5.105212495103644, 4.145088543150096, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.149051176116564, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945, 5.138662573252189]"
33,"[5.24392470020119, 6.717584634409803, 5.097750115016675, 3.504970569594789, 5.142601704088051, 5.321960884268813, 5.490337108274473, 5.263007453485275, 4.372481016411073, 5.50769593420138, 5.999648193696964, 4.919482918316129, 4.536062774124069, 6.862130045244711, 4.9467982878932775, 5.719454779944604, 5.898274556986151, 5.070680345411725, 5.385642781580101, 5.977451521580534, 5.806530943618723, 5.081961666978858, 5.01583121021848, 4.721805352781892, 5.722297307572196, 4.734888052179107, 5.39513968512974, 4.967592880138291, 5.102642179402993, 5.82682945862092, 4.5792342250996985, 5.932840023217756, 4.436171021168996, 4.440322025254963, 5.383143045528527, 4.85784900536279, 5.287473621163437, 5.853826766900241, 4.942913330619635, 5.193712233337421, 6.196049117046803, 5.699235212862258, 5.829965387223038, 4.876094030767091, 4.494214784490293, 5.166250207408538, 4.958305375927715, 5.3788710844432694, 5.126885936790462, 4.01338829504377, 5.508420853225418, 3.0657245317696127, 5.644683579419753, 4.724358635599186, 4.509019828031105, 5.310811314802206, 6.628787786558136, 4.765181288131821, 5.3312455021912, 5.193875988737147, 4.353983719335951, 4.929016657805791, 4.878786730321153, 5.180347716523851, 4.71162810480539, 5.588691978975528, 5.006549965935614, 5.245333168353817, 4.6609685094636655, 4.5309062779210585, 5.269515868486266, 3.9075798959560735, 5.165421716228423, 5.765167488918497, 4.771570665867703, 4.350544303835597, 3.829637963416258, 5.241558450607375, 4.111792302372642, 5.175892453829561, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404, 5.1524419970751945]"
34,"[6.464262308434572, 4.974586987871488, 5.201620072042118, 5.606137234303739, 5.114732434861483, 5.221392845198899, 5.816540751254605, 5.305449845268384, 5.170404397715467, 6.017928707724813, 5.592127826640807, 5.055157377655883, 6.216112481849798, 5.234426873449238, 5.183630598449652, 5.208743353415163, 4.81385521963615, 4.906403746854236, 5.565981036648493, 5.359737183054028, 5.979931916201982, 5.116734744160655, 3.5870793770100304, 7.41252849718403, 5.210841298846645, 5.159171539176928, 6.307947888722881, 4.653232504906342, 5.180873624147559, 4.605857717453235, 5.252952854721468, 5.537729134102237, 5.438641517217166, 5.078376649909208, 5.162536768989029, 6.5278212367467825, 5.420866807839574, 5.623038777276216, 3.066355360106269, 4.965919403448369, 4.0081544984510025, 4.0059791350680705, 5.129413690146096, 3.764068509765348, 6.897115809080339, 5.062660647714149, 5.305797231584214, 4.984494843586518, 4.846251568548607, 4.525691361356965, 6.6013211574402835, 5.2241623348269615, 4.938910192972898, 4.3546218244601524, 4.994934253331711, 6.321374358943724, 5.349674398481054, 4.237201313699348, 5.232556476268488, 5.24332900583828, 5.304287674305671, 5.235227506056143, 5.707215193709958, 5.155453943401996, 4.536641751487927, 4.596004156949277, 5.12750402051547, 3.0203981177099033, 4.180675106531856, 5.776726483504024, 5.408691702987882, 5.19240222430023, 4.127394147117123, 6.9874371061412335, 4.991470331399055, 3.5501353362032564, 5.017334609845408, 4.930140310907329, 3.7794539085825685, 3.9379447177836258, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404]"
35,"[5.588661085236538, 5.516167227488968, 5.554696058232997, 5.431354738965321, 5.219179774247836, 4.251149904723491, 5.543526203546083, 3.891921493775388, 5.255012543943432, 5.2157676883103665, 4.637797095048938, 4.977903892601907, 4.138737756585632, 3.7140953223256434, 4.438445640284575, 5.634324566248536, 5.92948750752481, 5.264383227481669, 5.048060098287102, 6.270479006929844, 5.225805415564605, 4.071475520760347, 5.520253593570512, 4.953088810195068, 5.157361656031233, 4.869244081188247, 6.172339945295107, 5.468995958584613, 3.244866237481083, 5.372143029972994, 5.0595325062857714, 5.356897239864056, 4.779735079823967, 4.56085727534363, 5.4798813972731955, 5.1522323328791675, 5.689279992087824, 5.259006807494353, 5.289787354432687, 4.8167273308570415, 3.613005601932974, 4.596190610849922, 4.7576309260443335, 4.7903738232686095, 5.073273154939891, 4.662337864158264, 5.082287767901184, 4.954152012807175, 5.203390284591471, 5.046419129443295, 2.9731070398507877, 4.84824901005286, 5.180490994360213, 4.702347624327457, 3.754666542538798, 5.668457217741801, 4.096147987985826, 4.794967036549891, 4.788741942428308, 3.406078136001109, 4.4360935082099635, 6.193806842011118, 4.992427676018495, 4.7459731240009635, 5.586394315675889, 5.087940777183363, 4.589877275876018, 3.6148197375781255, 5.170894225080544, 4.839642428050495, 6.056585788621768, 5.18603050436598, 5.602954027128018, 5.407796526216014, 4.580884081431551, 5.544269340344817, 5.7475197270152085, 5.83756819971924, 7.182978823509049, 5.452352673360201, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404]"
36,"[4.191832502017552, 3.748128055906964, 5.60186870573546, 3.4881789440809277, 5.477031810270417, 3.5544304026533062, 4.561878914920158, 5.071808730351919, 4.998809777859535, 5.526102254371212, 5.863377639173134, 5.47394886582247, 5.1545994263589705, 4.68687251353123, 2.6263048132937836, 6.069587108525491, 5.174898310190805, 4.347030088138265, 4.489734752574348, 5.09394646973502, 6.744723564189181, 4.978870442604775, 4.512502110925806, 4.174936909872238, 5.896727691047815, 4.867999853039933, 5.2571952348077495, 4.969135161628723, 5.123600333883593, 4.612885651894498, 5.655586456273343, 5.1074413977394295, 5.034734991823582, 5.356533157159941, 7.89828427392902, 5.653544951417846, 4.831785549865277, 5.885344495175513, 5.039960939845344, 4.017042462749757, 5.750981162442977, 3.5380250765014236, 4.924291168668998, 5.382575555495562, 5.856407253027269, 4.978083799422301, 3.9061748299899977, 5.980189273997883, 5.667982869637712, 5.218645164936754, 5.415468327451356, 4.664148506248293, 5.081594802308443, 4.670163135076012, 4.579218301002823, 5.750532916092249, 5.866094197871466, 5.787155441443468, 4.105663920713081, 4.289797772388432, 5.515530972379217, 4.489128008421956, 4.7333351046314105, 3.46605074647366, 5.10150137284391, 5.819662728776025, 4.862638100245052, 4.435884133952921, 5.276159821364983, 5.713113371635554, 5.4873431744952725, 5.8368726082120155, 5.400771049780497, 4.737831417528094, 5.013702331924403, 5.319547234181682, 4.928247249487322, 5.211723818477721, 5.273880356886586, 3.909049488388207, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404]"
37,"[3.9596449877984314, 5.112492576629603, 4.655199612129124, 5.880029161031441, 4.849015063096842, 5.481690092351942, 5.8972816248912245, 5.165683434050424, 5.273702159152704, 5.498790002420203, 3.796648558300177, 6.307431460482367, 3.7504701906988083, 5.75543570965216, 5.717402126927856, 5.602380247834889, 6.140404023216975, 4.733958163447083, 4.641033117345757, 6.91235660339282, 5.539096599458279, 5.860357699000961, 4.8324530962791075, 5.091864067495415, 5.330180416591403, 5.299048208265882, 4.763440843320193, 5.827439117502889, 3.967373632107576, 4.414230288825664, 5.669037516695938, 4.78553666416906, 5.385238771731419, 6.36487284657119, 4.414165624249984, 5.062440394422856, 4.658112547573128, 3.995828335659086, 5.0950907666216905, 6.432918703158293, 6.7720974019822915, 5.616895998083957, 4.9128099656024435, 4.3597348072629165, 5.188951307578041, 5.5362280125593895, 4.273253301271377, 2.9689599431719715, 5.689564370635861, 6.431967330042505, 4.483632489066593, 4.647253859796145, 5.3630556579303414, 5.537395527689991, 4.657835001234753, 5.138042569156641, 4.328479492914614, 4.543375854596599, 5.725393322470705, 5.44041208131292, 5.080946333614659, 6.190982388340107, 3.5162394973551176, 5.740176198596463, 5.742806947477367, 4.765506283375114, 6.0848842158454355, 5.0706520402594535, 6.261099350198048, 3.721251933568501, 4.783882095532132, 2.9979875064157397, 5.182115418704929, 4.929746543075872, 5.586769754995501, 5.852435119696116, 5.376077619761118, 5.763295445862751, 5.290049173085568, 4.726571053762028, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404]"
38,"[4.476077471485676, 5.155709925106395, 4.885599838251776, 4.871630387059703, 4.753956783441716, 2.384950066088277, 5.976680342049795, 3.5069227537512084, 5.551340583918815, 5.722501180209246, 6.1801323192409265, 4.691070217658412, 4.952960462806298, 4.9596953014021095, 5.579129838835248, 5.189449064842466, 5.872650373002176, 5.26725467837924, 4.793167787595019, 5.010184384524786, 4.853371186470735, 5.352639000196725, 4.624534549229825, 4.984996274432264, 5.836657164848097, 4.182189133008704, 3.9608679571059304, 3.5447945538996306, 3.5083556973062846, 4.327561266096717, 5.729271417322639, 6.072196854810406, 5.450388970985204, 4.527448218107105, 5.1453407177970245, 5.810145291301735, 5.287268933020458, 3.7814166622322456, 5.283612761718027, 4.542001378004587, 4.578146527610927, 4.485564168856535, 6.1444506335313935, 5.697182190399487, 4.582630733196967, 7.205097973984819, 5.113330526777187, 4.916737625265393, 5.550696782430933, 5.229835861446859, 3.354841416766789, 5.116426109537919, 6.177103453488842, 5.12203320122718, 5.496589622098002, 5.719656957284293, 4.392432114676638, 5.240146063056747, 4.322648348457321, 4.8873238956157845, 4.8642905455775045, 4.385436127699123, 5.75858128055356, 4.2037065060492615, 5.204727209567201, 5.186079647999061, 6.567488319240196, 3.7932020516196054, 4.095502906540409, 6.109542986043656, 4.598520856836607, 4.671189277408644, 4.9122450576912975, 6.272165643121714, 4.8573420762201875, 4.16854150641492, 6.5150888944834975, 5.566735783029792, 4.601360060725574, 3.4048582422407367, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322, 5.152172066168404]"
39,"[3.575120704729919, 5.957773507549368, 5.479091037965459, 4.573777622671492, 5.1288255675016465, 5.616844529907819, 5.5914540274575035, 5.778551991460339, 3.4871290418670133, 5.256759299625233, 3.7899964685584377, 4.906666975130619, 5.570633257177809, 4.076851415279352, 5.079833559898658, 4.850455717684045, 5.0217001992185555, 4.9652586952126585, 3.711190553519707, 5.476797669900047, 4.622776610952916, 5.298317322312268, 4.7679086717667545, 5.9045291542692695, 5.227713828971598, 4.333328198423151, 5.189696578540592, 5.1509497544427445, 3.018612163987502, 4.949953582580337, 5.950565557962538, 4.359895884704839, 6.895544134268366, 5.069965043722155, 4.831723000380235, 3.1832994436588873, 5.209247391283478, 5.343911795824548, 5.8048333760454796, 4.582164698146428, 5.334094116700191, 5.166339715815772, 4.30909956003819, 5.755232238245989, 5.134011731693514, 4.7976103728245825, 5.896533932891031, 5.536005925764683, 5.269054511064031, 4.614144945294161, 6.021836620882314, 6.41177750077319, 5.56282725863873, 5.208110024913604, 3.480595770366766, 4.183536899636923, 5.062580096559506, 4.531874829352251, 5.085204337486412, 4.49570328841271, 4.836230149121444, 4.89871823534877, 5.606543049838359, 3.1841300410036233, 4.929546529848203, 6.009538630754237, 5.612496962159701, 5.0150736290425675, 3.378175516975039, 4.285057201308376, 4.560695006357836, 5.689608809575287, 5.838561539585083, 6.962314674478816, 5.631050343713792, 4.702321648493095, 5.494649347159068, 4.544999478557253, 5.136006772573584, 5.9704088031387865, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.151344085823322]"
40,"[3.822162316651544, 6.2052699953224435, 4.900832342502904, 4.264484965311604, 5.8265093598506645, 5.301320280611948, 6.281206463274824, 5.446233759173337, 4.110924554632589, 5.4828640536149305, 5.255032341197201, 5.953284100208311, 5.1976066813738875, 4.19813283417901, 4.487876829890637, 5.458510484327526, 6.368853414314028, 3.5445920632254406, 3.8283717922599507, 4.479008647793295, 6.035726889757209, 5.61520838052684, 5.530907274645648, 4.325325907487567, 4.726883565163049, 5.286353924191538, 4.934898077898943, 4.568663106012549, 3.611820904222284, 2.9887605714500634, 5.412070493123881, 4.770234171115319, 5.295950448729338, 3.150299892775128, 4.600410211585212, 5.228708204837577, 5.788890336239083, 5.401578615778343, 6.707800620148667, 5.00692765686481, 5.39124357393159, 6.224486203499088, 5.409218772158081, 5.530890371436509, 4.968315037642407, 5.334833323021682, 5.893378871396828, 4.870038457485023, 4.2320474195022015, 5.053108084302416, 5.607728060508115, 4.533195076710269, 4.591269266333018, 5.296254740955169, 4.739308359065426, 5.688834253365848, 5.640058871698342, 4.658690930197542, 5.656096241458779, 6.030865452255478, 4.71064330268102, 4.281209673302155, 4.903677142476136, 4.821381078508191, 5.097641715496855, 4.640361556173099, 4.648623944845846, 4.667972643623035, 5.193250725950557, 5.196251502275318, 4.1059058945599665, 6.777715149867216, 4.714091602185965, 4.97736830078594, 4.893910811828314, 4.493134184992426, 7.152613182674024, 4.577131154017192, 4.745590766448381, 5.756148601390796, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.1509497544427445]"
